index,battery_error,position_error
0,0.0132,1.6339
1,0.0222,1.3689
2,0.0044,2.9758
3,0.0151,2.3195
4,0.0231,2.2050
5,0.0187,0.1704
6,0.0269,33.0292
7,0.0472,0.8906
8,0.0013,1.5441
9,0.0110,0.9760
10,0.0000,0.0000
11,0.0000,0.0000
12,0.0000,0.0000
13,0.0000,0.0000
14,0.0000,0.0000
15,0.0000,0.0000
16,0.0000,0.0000
17,0.0000,0.0000
18,0.0000,0.0000
19,0.0000,0.0000
20,0.0014,1.7512
21,0.0176,1.4259
22,0.0342,3.4898
23,0.0032,2.5083
24,0.0031,2.4131
25,0.0191,3.3146
26,0.0052,2.1116
27,0.0038,2.1201
28,0.0173,2.1185
29,0.0244,2.5092
30,0.0000,0.0000
31,0.0000,0.0000
32,0.0000,0.0000
33,0.0000,0.0000
34,0.0000,0.0000
35,0.0000,0.0000
36,0.0000,0.0000
37,0.0000,0.0000
38,0.0000,0.0000
39,0.0000,0.0000
40,0.0104,0.3412
41,0.0117,1.0366
42,0.0088,3.1892
43,0.0030,2.3917
44,0.0039,22.3277
45,0.0335,2.5043
46,0.0058,2.2089
47,0.0025,0.6014
48,0.0003,2.7103
49,0.0072,1.6707
50,0.0000,0.0000
51,0.0000,0.0000
52,0.0000,0.0000
53,0.0000,0.0000
54,0.0000,0.0000
55,0.0000,0.0000
56,0.0000,0.0000
57,0.0000,0.0000
58,0.0000,0.0000
59,0.0000,0.0000
60,0.0017,2.3908
61,0.0057,3.2880
62,0.0043,0.2738
63,0.0162,3.6966
64,0.0218,2.7570
65,0.0127,3.2809
66,0.0119,1.1740
67,0.0168,0.7900
68,0.0077,0.3812
69,0.0167,0.6318
70,0.0000,0.0000
71,0.0000,0.0000
72,0.0000,0.0000
73,0.0000,0.0000
74,0.0000,0.0000
75,0.0000,0.0000
76,0.0000,0.0000
77,0.0000,0.0000
78,0.0000,0.0000
79,0.0000,0.0000
80,0.0220,2.7092
81,0.0484,3.0436
82,0.0180,1.1645
83,0.0026,0.8890
84,0.0077,0.4869
85,0.0199,2.3769
86,0.0110,2.1995
87,0.0004,2.5528
88,0.0061,3.6641
89,0.0028,2.1425
90,0.0000,0.0000
91,0.0000,0.0000
92,0.0000,0.0000
93,0.0000,0.0000
94,0.0000,0.0000
95,0.0000,0.0000
96,0.0000,0.0000
97,0.0000,0.0000
98,0.0000,0.0000
99,0.0000,0.0000
100,0.0005,1.1957
101,0.0048,1.0364
102,0.0043,1.9318
103,0.0048,4.5232
104,0.0131,3.3902
105,0.0382,2.5173
106,0.0033,1.2087
107,0.0005,1.7591
108,0.0063,2.4541
109,0.0249,2.2497
110,0.0000,0.0000
111,0.0000,0.0000
112,0.0000,0.0000
113,0.0000,0.0000
114,0.0000,0.0000
115,0.0000,0.0000
116,0.0000,0.0000
117,0.0000,0.0000
118,0.0000,0.0000
119,0.0000,0.0000
120,0.0025,1.1763
121,0.0164,1.9940
122,0.0134,2.8846
123,0.0093,0.3835
124,0.0072,2.0024
125,0.0063,0.8067
126,0.0114,2.6251
127,0.0122,1.7120
128,0.0181,2.5354
129,0.0030,1.6873
130,0.0000,0.0000
131,0.0000,0.0000
132,0.0000,0.0000
133,0.0000,0.0000
134,0.0000,0.0000
135,0.0000,0.0000
136,0.0000,0.0000
137,0.0000,0.0000
138,0.0000,0.0000
139,0.0000,0.0000
140,0.0207,0.6224
141,0.0109,0.3034
142,0.0060,0.6905
143,0.0064,3.8296
144,0.0335,3.6275
145,0.0281,2.8835
146,0.0008,0.5151
147,0.0054,2.7639
148,0.0013,2.6726
149,0.0093,0.5591
150,0.0000,0.0000
151,0.0000,0.0000
152,0.0000,0.0000
153,0.0000,0.0000
154,0.0000,0.0000
155,0.0000,0.0000
156,0.0000,0.0000
157,0.0000,0.0000
158,0.0000,0.0000
159,0.0000,0.0000
160,0.0110,2.2083
161,0.0041,0.7153
162,0.0117,1.3005
163,0.0062,3.2400
164,0.0166,1.5056
165,0.0296,3.3516
166,0.0259,1.4793
167,0.0010,1.1260
168,0.0083,2.6467
169,0.0040,1.8964
170,0.0000,0.0000
171,0.0000,0.0000
172,0.0000,0.0000
173,0.0000,0.0000
174,0.0000,0.0000
175,0.0000,0.0000
176,0.0000,0.0000
177,0.0000,0.0000
178,0.0000,0.0000
179,0.0000,0.0000
180,0.0092,2.8779
181,0.0046,2.3525
182,0.0040,2.0481
183,0.0143,0.8250
184,0.0030,2.0628
185,0.0192,3.4372
186,0.0064,0.1360
187,0.0297,1.4938
