index,battery_error,position_error
0,0.2461,29.1967
1,0.1918,18.3455
2,0.2310,26.1742
3,0.1826,16.4861
4,0.2277,25.5013
5,0.2814,36.2623
6,0.2459,11.6393
7,0.3153,43.0539
8,0.2688,33.7402
9,0.2178,23.5170
10,0.0000,0.0000
11,0.0000,0.0000
12,0.0000,0.0000
13,0.0000,0.0000
14,0.0000,0.0000
15,0.0000,0.0000
16,0.0000,0.0000
17,0.0000,0.0000
18,0.0000,0.0000
19,0.0000,0.0000
20,0.2394,27.8642
21,0.2311,26.2055
22,0.3083,41.6613
23,0.2184,23.6134
24,0.2724,34.4500
25,0.2859,37.1628
26,0.2587,31.7211
27,0.3316,46.3053
28,0.2997,39.9223
29,0.2630,32.6033
30,0.0000,0.0000
31,0.0000,0.0000
32,0.0000,0.0000
33,0.0000,0.0000
34,0.0000,0.0000
35,0.0000,0.0000
36,0.0000,0.0000
37,0.0000,0.0000
38,0.0000,0.0000
39,0.0000,0.0000
40,0.3031,40.5894
41,0.2252,25.0232
42,0.2915,38.2912
43,0.2128,22.5371
44,0.2729,20.6910
45,0.2548,30.9218
46,0.2558,31.1319
47,0.3639,52.7772
48,0.2897,37.9096
49,0.3238,44.7505
50,0.0000,0.0000
51,0.0000,0.0000
52,0.0000,0.0000
53,0.0000,0.0000
54,0.0000,0.0000
55,0.0000,0.0000
56,0.0000,0.0000
57,0.0000,0.0000
58,0.0000,0.0000
59,0.0000,0.0000
60,0.3081,41.5972
61,0.2503,30.0108
62,0.3126,42.5186
63,0.2597,31.8451
64,0.2600,31.9607
65,0.2681,33.6040
66,0.2835,36.6769
67,0.3690,53.7813
68,0.3348,46.9564
69,0.2998,39.9555
70,0.0000,0.0000
71,0.0000,0.0000
72,0.0000,0.0000
73,0.0000,0.0000
74,0.0000,0.0000
75,0.0000,0.0000
76,0.0000,0.0000
77,0.0000,0.0000
78,0.0000,0.0000
79,0.0000,0.0000
80,0.2686,33.6980
81,0.1448,8.8896
82,0.3069,41.3578
83,0.2674,33.4805
84,0.3302,46.0224
85,0.2096,21.8963
86,0.3111,42.1952
87,0.3763,55.2579
88,0.3729,54.5272
89,0.3294,45.8725
90,0.0000,0.0000
91,0.0000,0.0000
92,0.0000,0.0000
93,0.0000,0.0000
94,0.0000,0.0000
95,0.0000,0.0000
96,0.0000,0.0000
97,0.0000,0.0000
98,0.0000,0.0000
99,0.0000,0.0000
100,0.2747,34.9121
101,0.1790,15.7698
102,0.2905,38.0819
103,0.3031,40.5622
104,0.2982,39.5634
105,0.1647,12.8585
106,0.2944,38.8733
107,0.3542,50.8217
108,0.3811,56.2238
109,0.3784,55.6619
110,0.0000,0.0000
111,0.0000,0.0000
112,0.0000,0.0000
113,0.0000,0.0000
114,0.0000,0.0000
115,0.0000,0.0000
116,0.0000,0.0000
117,0.0000,0.0000
118,0.0000,0.0000
119,0.0000,0.0000
120,0.3009,40.1786
121,0.1443,8.8177
122,0.3111,42.1827
123,0.3181,43.6073
124,0.3187,43.7376
125,0.1754,15.0725
126,0.2876,37.5050
127,0.3665,53.2999
128,0.4075,61.4569
129,0.4016,60.3145
130,0.0000,0.0000
131,0.0000,0.0000
132,0.0000,0.0000
133,0.0000,0.0000
134,0.0000,0.0000
135,0.0000,0.0000
136,0.0000,0.0000
137,0.0000,0.0000
138,0.0000,0.0000
139,0.0000,0.0000
140,0.4065,61.2888
141,0.1373,7.4209
142,0.3126,42.5081
143,0.2961,39.1905
144,0.2347,26.9150
145,0.1856,17.1067
146,0.3570,51.3915
147,0.3908,58.1224
148,0.4362,67.2292
149,0.4050,61.0031
150,0.0000,0.0000
151,0.0000,0.0000
152,0.0000,0.0000
153,0.0000,0.0000
154,0.0000,0.0000
155,0.0000,0.0000
156,0.0000,0.0000
157,0.0000,0.0000
158,0.0000,0.0000
159,0.0000,0.0000
160,0.3516,50.3066
161,0.1243,4.7338
162,0.3041,40.8094
163,0.2660,33.1471
164,0.2776,35.4743
165,0.1809,16.1188
166,0.3670,53.3961
167,0.3863,57.2552
168,0.4008,60.1472
169,0.4272,65.4244
170,0.0000,0.0000
171,0.0000,0.0000
172,0.0000,0.0000
173,0.0000,0.0000
174,0.0000,0.0000
175,0.0000,0.0000
176,0.0000,0.0000
177,0.0000,0.0000
178,0.0000,0.0000
179,0.0000,0.0000
180,0.3502,50.0265
181,0.1271,5.3423
182,0.2792,35.8045
183,0.3047,40.9427
184,0.3127,42.5360
185,0.1856,17.0547
186,0.4144,62.8693
187,0.3851,57.0188
188,0.3774,55.4658
189,0.4171,63.4153
190,0.0000,0.0000
191,0.0000,0.0000
192,0.0000,0.0000
193,0.0000,0.0000
194,0.0000,0.0000
195,0.0000,0.0000
196,0.0000,0.0000
197,0.0000,0.0000
198,0.0000,0.0000
199,0.0000,0.0000
200,0.3630,52.6035
201,0.1328,6.4414
202,0.3168,43.2888
203,0.3518,50.3302
204,0.3487,49.6904
205,0.1748,14.8834
206,0.3240,44.8031
207,0.3727,54.5343
208,0.3368,47.3508
209,0.3994,59.8622
210,0.0000,0.0000
211,0.0000,0.0000
212,0.0000,0.0000
213,0.0000,0.0000
214,0.0000,0.0000
215,0.0000,0.0000
216,0.0000,0.0000
217,0.0000,0.0000
218,0.0000,0.0000
219,0.0000,0.0000
220,0.3394,47.8609
221,0.1377,7.3540
222,0.2806,36.1221
223,0.3382,47.6441
224,0.3274,45.4678
225,0.1965,19.3048
226,0.3099,41.9635
227,0.3570,51.3697
228,0.3722,54.4261
229,0.3931,58.6114
230,0.0000,0.0000
231,0.0000,0.0000
232,0.0000,0.0000
233,0.0000,0.0000
234,0.0000,0.0000
235,0.0000,0.0000
236,0.0000,0.0000
237,0.0000,0.0000
238,0.0000,0.0000
239,0.0000,0.0000
240,0.3826,56.5223
241,0.1571,11.3572
242,0.2677,33.5147
243,0.3182,43.6264
244,0.2859,37.1679
245,0.1639,12.6137
246,0.3791,55.8101
247,0.4130,62.5743
248,0.3532,50.6312
249,0.3666,53.2613
250,0.0000,0.0000
251,0.0000,0.0000
252,0.0000,0.0000
253,0.0000,0.0000
254,0.0000,0.0000
255,0.0000,0.0000
256,0.0000,0.0000
257,0.0000,0.0000
258,0.0000,0.0000
259,0.0000,0.0000
260,0.3727,54.5382
261,0.1891,17.7968
262,0.2363,27.1162
263,0.3194,43.8587
264,0.2850,36.9918
265,0.1750,14.9095
266,0.4018,60.3466
267,0.4549,70.9663
268,0.3967,59.3342
269,0.4191,63.8153
270,0.0000,0.0000
271,0.0000,0.0000
272,0.0000,0.0000
273,0.0000,0.0000
274,0.0000,0.0000
275,0.0000,0.0000
276,0.0000,0.0000
277,0.0000,0.0000
278,0.0000,0.0000
279,0.0000,0.0000
280,0.3588,51.7480
281,0.2261,25.1942
282,0.2896,37.9191
283,0.2689,33.7592
284,0.3321,46.4012
285,0.1898,17.9258
286,0.4488,69.7301
287,0.4462,69.2214
288,0.4036,60.6932
289,0.4007,60.1085
290,0.0000,0.0000
291,0.0000,0.0000
292,0.0000,0.0000
293,0.0000,0.0000
294,0.0000,0.0000
295,0.0000,0.0000
296,0.0000,0.0000
297,0.0000,0.0000
298,0.0000,0.0000
299,0.0000,0.0000
300,0.3458,49.1496
301,0.2258,25.1617
302,0.2420,28.3906
303,0.2397,27.9262
304,0.3998,59.9264
305,0.2241,24.7963
306,0.3938,58.7479
307,0.4768,75.3531
308,0.4250,64.9954
309,0.3461,49.1671
310,0.0000,0.0000
311,0.0000,0.0000
312,0.0000,0.0000
313,0.0000,0.0000
314,0.0000,0.0000
315,0.0000,0.0000
316,0.0000,0.0000
