time_sec,true_battery,groupA_battery,groupB_battery,groupC_battery,groupA_pos_err,groupB_pos_err,groupC_pos_err
15,96.7063,96.7063,96.7194,96.9523,0.0000,1.6339,29.1967
30,95.9851,95.9851,95.9851,95.9851,0.0000,0.0000,0.0000
45,95.2640,95.2640,95.2626,95.5035,0.0000,1.7512,27.8642
60,94.4230,94.4230,94.4230,94.4230,0.0000,0.0000,0.0000
75,93.4930,93.4930,93.4827,93.7961,0.0000,0.3412,40.5894
90,92.5713,92.5713,92.5713,92.5713,0.0000,0.0000,0.0000
105,91.6434,91.6434,91.6417,91.9516,0.0000,2.3908,41.5972
120,90.8024,90.8024,90.8024,90.8024,0.0000,0.0000,0.0000
135,89.9526,89.9526,89.9306,90.2212,0.0000,2.7092,33.6980
150,89.1547,89.1547,89.1547,89.1547,0.0000,0.0000,0.0000
165,88.3317,88.3317,88.3322,88.6064,0.0000,1.1957,34.9121
180,87.4414,87.4414,87.4414,87.4414,0.0000,0.0000,0.0000
195,86.5436,86.5436,86.5461,86.8445,0.0000,1.1763,40.1786
210,85.5533,85.5533,85.5533,85.5533,0.0000,0.0000,0.0000
225,84.3751,84.3751,84.3958,84.7816,0.0000,0.6224,61.2888
240,83.1898,83.1898,83.1898,83.1898,0.0000,0.0000,0.0000
255,82.1131,82.1131,82.1021,82.4647,0.0000,2.2083,50.3066
270,81.0660,81.0660,81.0660,81.0660,0.0000,0.0000,0.0000
285,79.9972,79.9972,79.9880,80.3473,0.0000,2.8779,50.0265
300,78.9897,78.9897,78.9897,78.9897,0.0000,0.0000,0.0000
315,77.9297,77.9297,77.9443,78.2927,0.0000,1.9704,52.6035
330,76.9259,76.9259,76.9259,76.9259,0.0000,0.0000,0.0000
345,75.9547,75.9547,75.9782,76.2941,0.0000,1.4345,47.8609
360,74.8827,74.8827,74.8827,74.8827,0.0000,0.0000,0.0000
375,73.7557,73.7557,73.7662,74.1383,0.0000,1.8637,56.5223
390,72.6691,72.6691,72.6691,72.6691,0.0000,0.0000,0.0000
405,71.5490,71.5490,71.5481,71.9218,0.0000,2.6048,54.5382
420,70.4670,70.4670,70.4670,70.4670,0.0000,0.0000,0.0000
435,69.3950,69.3950,69.3973,69.7539,0.0000,2.2895,51.7480
450,68.3488,68.3488,68.3488,68.3488,0.0000,0.0000,0.0000
465,67.3166,67.3166,67.3193,67.6625,0.0000,1.4345,49.1496
480,66.2738,66.2738,66.2738,66.2738,0.0000,0.0000,0.0000
495,65.2701,65.2701,65.2609,65.5985,0.0000,2.7909,45.6663
510,64.3930,64.3930,64.3930,64.3930,0.0000,0.0000,0.0000
525,63.5286,63.5286,63.5259,63.8150,0.0000,1.0495,37.2534
540,62.6427,62.6427,62.6427,62.6427,0.0000,0.0000,0.0000
555,61.7408,61.7408,61.7364,62.0385,0.0000,3.7177,39.4793
570,60.7621,60.7621,60.7621,60.7621,0.0000,0.0000,0.0000
585,59.7920,59.7920,59.7654,60.0977,0.0000,3.3737,41.0997
