node_name,latitude,longitude,x_meters,y_meters,battery_percent,network_latency_ms,cpu_usage_percent,memory_usage_percent
uav-node-01,39.9042,116.4074,0,0,29,5.0,20.13,33.39
uav-node-02,39.9042,116.409749,200,0,28,38.07,54.07,25.22
uav-node-03,39.90576,116.408574,100.0,173.20508075688772,69,12.27,10.15,33.96
uav-node-04,39.90576,116.406226,-100.0,173.20508075688772,92,12.06,15.94,58.99
uav-node-05,39.9042,116.405051,-200.0,0.0,84,27.78,29.71,36.69
uav-node-06,39.90264,116.406226,-100.0,-173.20508075688772,15,41.35,13.78,45.36
uav-node-07,39.90264,116.408574,100.0,-173.20508075688772,50,17.22,57.65,40.2
uav-node-08,39.9042,116.412098,400,0,26,42.2,24.74,40.64
uav-node-09,39.90576,116.410923,300.0,173.20508075688772,48,55.0,45.14,52.17
uav-node-10,39.907321,116.409749,200.0,346.41016151377545,63,30.15,21.12,57.72
uav-node-11,39.907321,116.4074,0.0,346.41016151377545,61,45.81,43.75,22.75
uav-node-12,39.907321,116.405051,-200.0,346.41016151377545,44,57.92,59.19,71.32
uav-node-13,39.90576,116.403877,-300.0,173.20508075688772,27,37.92,29.94,70.05
uav-node-14,39.9042,116.402702,-400.0,0.0,35,41.81,16.52,36.02
uav-node-15,39.90264,116.403877,-300.0,-173.20508075688772,24,47.08,14.41,63.75
uav-node-16,39.901079,116.405051,-200.0,-346.41016151377545,35,45.49,19.85,75.52
uav-node-17,39.901079,116.4074,0.0,-346.41016151377545,86,31.5,22.84,66.1
uav-node-18,39.901079,116.409749,200.0,-346.41016151377545,22,36.16,6.77,38.93
uav-node-19,39.90264,116.410923,300.0,-173.20508075688772,49,25.36,55.22,54.03
uav-node-20,39.9042,116.414446,600,0,55,51.51,32.46,73.08
uav-node-21,39.90576,116.413272,500.0,173.20508075688772,73,43.05,12.68,64.7
uav-node-22,39.907321,116.412098,400.0,346.41016151377545,83,47.84,37.15,73.87
uav-node-23,39.908881,116.410923,300.0,519.6152422706632,66,57.48,59.85,28.3
uav-node-24,39.908881,116.408574,100.0,519.6152422706632,78,40.97,7.59,26.58
uav-node-25,39.908881,116.406226,-100.0,519.6152422706632,95,43.73,42.43,55.78
uav-node-26,39.908881,116.403877,-300.0,519.6152422706632,64,58.26,59.79,51.75
uav-node-27,39.907321,116.402702,-400.0,346.4101615137755,85,71.76,5.63,63.24
uav-node-28,39.90576,116.401528,-500.0,173.20508075688778,83,67.37,47.27,40.41
uav-node-29,39.9042,116.400354,-600.0,5.684341886080802e-14,52,60.39,29.95,77.23
uav-node-30,39.90264,116.401528,-500.0,-173.20508075688767,48,76.21,46.91,50.46
uav-node-31,39.901079,116.402702,-400.0,-346.4101615137754,28,72.15,21.41,58.34
uav-node-32,39.899519,116.403877,-300.0,-519.6152422706631,92,50.96,25.57,29.69
uav-node-33,39.899519,116.406226,-100.0,-519.6152422706631,82,74.07,37.94,49.32
uav-node-34,39.899519,116.408574,100.0,-519.6152422706631,29,74.5,53.33,69.9
uav-node-35,39.899519,116.410923,300.0,-519.6152422706631,54,52.58,18.25,54.04
uav-node-36,39.901079,116.412098,400.0,-346.4101615137754,25,40.76,31.73,24.15
uav-node-37,39.90264,116.413272,500.0,-173.20508075688767,83,67.97,12.06,48.52
uav-node-38,39.9042,116.416795,800,0,85,65.61,34.02,56.4
uav-node-39,39.90576,116.415621,700.0,173.20508075688772,42,89.85,46.54,61.39
uav-node-40,39.907321,116.414446,600.0,346.41016151377545,54,66.39,41.94,42.41
uav-node-41,39.908881,116.413272,500.0,519.6152422706632,81,70.75,18.63,23.84
uav-node-42,39.910442,116.412098,400.0,692.8203230275509,17,82.53,17.66,33.21
uav-node-43,39.910442,116.409749,200.0,692.8203230275509,24,81.0,8.24,24.04
uav-node-44,39.910442,116.4074,0.0,692.8203230275509,19,84.81,8.9,34.28
uav-node-45,39.910442,116.405051,-200.0,692.8203230275509,77,61.26,12.28,76.13
uav-node-46,39.910442,116.402702,-400.0,692.8203230275509,88,82.05,18.36,48.38
uav-node-47,39.908881,116.401528,-500.0,519.6152422706632,67,60.31,10.33,45.86
uav-node-48,39.907321,116.400354,-600.0,346.4101615137755,69,66.87,52.51,23.25
uav-node-49,39.90576,116.399179,-700.0,173.20508075688778,27,55.11,45.05,68.04
uav-node-50,39.9042,116.398005,-800.0,5.684341886080802e-14,28,68.95,15.46,46.92
